place,team,team id,score,member name,member id,member email,member score
86,thebelch,9,20,,,,
,,,,jabelch,16,,20
87,Kbell,37,20,,,,
,,,,Kbell,58,,20
88,a,97,20,,,,
,,,,samfisher85,137,,20
89,DDM,38,10,,,,
,,,,zwiebelspaetzle,59,,10
90,AfrcanPrince,4,10,,,,
,,,,AfricanPrince,10,,10
91,Trthornton,27,10,,,,
,,,,phottog,43,,10
92,kingbob,104,10,,,,
,,,,kingbob,152,,10
93,Photoshop People,95,10,,,,
,,,,Velox,135,,10
94,UBTECH,83,10,,,,
,,,,Lynn Walker,116,,10
